INBR,Name,Name kurz,DS100,Kategorie
8000381,Grötzingen,Grötzingen,RGZ,6
8007861,Grötzingen Krappmühlenweg,Grötzingen Krappmühlenweg,RGZK,6
8079057,Grötzingen Oberausstraße,Grötzingen Oberausstraße,RGZO,6
8011777,Grünhainichen-Borstendorf,Grünhainichen-Borstendorf,DGRB,6
8070669,Gstadt(Wanderbahn),Gstadt(Wanderbahn),NSDT,6
7179105,Gualba (APD.),Gualba (APD.),PELGJ,6
5101281,Gubin,Gubin,XPGU,6
8600809,Guldager st,Guldager st,XDGA,6
8070599,Gumpenried-Asbach,Gumpenried-Asbach,NGPA,6
8100845,Gunskirchen,Gunskirchen,OAGKN,6
8100894,Guntersdorf,Guntersdorf,OAGTD,6
8100372,Guntramsdorf Kaiserau,Guntramsdorf Kaiserau,XAGK,6
8100263,Gurten OÖ,Gurten OÖ,XAGUR,6
8007074,Gussenstadt,Gussenstadt,TGSS,6
5500080,Györ,Györ,XMG,6
8100245,Gänserndorf,Gänserndorf,XAGD,6
8011651,Göhren(Rügen),Göhren(Rügen),WGO,6
8070257,Göllheim-Dreisen,Göllheim-Dreisen,FGLD,6
8002307,Gölshausen,Gölshausen,RGOE,6
8002306,Gölshausen Industriegebiet,Gölshausen Industriegebiet,RGOI,6
8100200,Göpfritz an der Wild,Göpfritz an der Wild,XAGPF,6
102161,Görries Brücke - Schwerin (Meckl),Görries Brücke - Schwerin (Meckl),D102161,6
8002312,Görschnitz,Görschnitz,NGOE,6
8505119,Göschenen,Göschenen,XSGS,6
8011659,Götschendorf,Götschendorf,WGOE,6
8100254,Götzendorf/Leitha,Götzendorf/Leitha,XAGT,6
8100120,Götzis,Götzis,XAGZ,6
836533,Güchenbach - Riegelsberg,Güchenbach - Riegelsberg,PQRGC,6
8070604,Gültstein,Gültstein,TGU,6
8017011,Güntersberge,Güntersberge,LGBG,6
8506124,Güttingen,Güttingen,XSGU,6
8800366,Haaltert,Haaltert,XBHA,6
8400285,Haarlem,Haarlem,XNHE,6
8402735,Haarlem Spaarnwoude,Haarlem Spaarnwoude,XNHLS,6
8701261,Habsheim(Mulh),Habsheim(Mulh),OFHHM,6
8600842,Hadsten st,Hadsten st,XDHA,6
8071337,Hagen(Kr. Stade),Hagen(Kr. Stade),AHGN,6
8100914,Hagenau im Innkreis,Hagenau im Innkreis,XAHU,6
8011798,Hagenow Stadt,Hagenow Stadt,WH,6
8700283,Hagondange,Hagondange,XFHD,6
378402,Hagsfeld Bahnhof - Karlsruhe,Hagsfeld Bahnhof - Karlsruhe,PQKHA,6
720672,Hagsfeld Geroldsäcker - Karlsruhe,Hagsfeld Geroldsäcker - Karlsruhe,RKGER,6
720555,Hagsfeld Jenaer Straße - Karlsruhe,Hagsfeld Jenaer Straße - Karlsruhe,PQKHJ,6
721084,Hagsfeld Reitschulschlag (Schleife) - Karlsruhe,Hagsfeld Reitschulschlag (Schleife) - Karlsruhe,PQKHU,6
373013,Hagsfeld Reitschulschlag - Karlsruhe,Hagsfeld Reitschulschlag - Karlsruhe,PQKHR,6
723859,Hagsfeld Süd - Karlsruhe,Hagsfeld Süd - Karlsruhe,RKHFS,6
8700347,Haguenau,Haguenau,XFHG,6
110441,Hahnenfurth/Düssel Bahnhof - Wuppertal,Hahnenfurth/Düssel Bahnhof - Wuppertal,D110441,6
8100265,Haiding,Haiding,OAHA,6
8070414,Haidkapelle,Haidkapelle,THKP,6
8070415,Haigerloch,Haigerloch,THGL,6
8100956,Haiming,Haiming,XAHM,6
8002529,Hainstadt(Baden),Hainstadt(Baden),RHAI,6
5400997,Haj u Duchcova,Haj u Duchcova,OTHUD,6
5500057,Hajduszoboszlo,Hajduszoboszlo,OMHJO,6
8070801,Halfing,Halfing,MHLF,6
8400400,Halfweg-Zwanenburg,Halfweg-Zwanenburg,PNHWZ,6
710636,Halitplatz - Kassel,Halitplatz - Kassel,FKMBS,6
8100105,Hall in Tirol,Hall in Tirol,XAHT,6
8011811,Halle(S) Heidebf,Halle(S) Heidebf,LHHB,6
8098159,Halle(Saale)Hbf Gl. 13a,Halle(Saale)Hbf Gl. 13a,LHG,6
8100040,Hallein,Hallein,XAHL,6
8102049,Hallein Burgfried,Hallein Burgfried,PANEU,6
8100929,Hallwang-Elixhausen,Hallwang-Elixhausen,XAHE,6
8007046,Hamburg Burgwedel,Hamburg Burgwedel,ABWD,6
8098549,Hamburg Hbf (S-Bahn),Hamburg Hbf (S-Bahn),AHS,2
8098553,Hamburg-Altona(S),Hamburg-Altona(S),AAS,6
